questionFrontendId,title,difficulty,free/premium,frequency,topicTags
1,Two Sum,EASY,free,100.0,"Array, Hash Table"
88,Merge Sorted Array,EASY,free,87.6,"Array, Two Pointers, Sorting"
1526,Minimum Number of Increments on Subarrays to Form a Target Array,HARD,free,85.7,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack"
2667,Create Hello World Function,EASY,free,75.4,
1768,Merge Strings Alternately,EASY,free,73.7,"Two Pointers, String"
2,Add Two Numbers,MEDIUM,free,69.8,"Linked List, Math, Recursion"
53,Maximum Subarray,MEDIUM,free,65.0,"Array, Divide and Conquer, Dynamic Programming"
253,Meeting Rooms II,MEDIUM,premium,62.1,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
11,Container With Most Water,MEDIUM,free,58.8,"Array, Two Pointers, Greedy"
13,Roman to Integer,EASY,free,58.8,"Hash Table, Math, String"
70,Climbing Stairs,EASY,free,58.8,"Math, Dynamic Programming, Memoization"
128,Longest Consecutive Sequence,MEDIUM,free,58.8,"Array, Hash Table, Union Find"
169,Majority Element,EASY,free,58.8,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
1757,Recyclable and Low Fat Products,EASY,free,58.8,Database
2235,Add Two Integers,EASY,free,58.8,Math
14,Longest Common Prefix,EASY,free,55.0,"String, Trie"
49,Group Anagrams,MEDIUM,free,55.0,"Array, Hash Table, String, Sorting"
84,Largest Rectangle in Histogram,HARD,free,55.0,"Array, Stack, Monotonic Stack"
121,Best Time to Buy and Sell Stock,EASY,free,55.0,"Array, Dynamic Programming"
200,Number of Islands,MEDIUM,free,55.0,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
206,Reverse Linked List,EASY,free,55.0,"Linked List, Recursion"
214,Shortest Palindrome,HARD,free,55.0,"String, Rolling Hash, String Matching, Hash Function"
2663,Lexicographically Smallest Beautiful String,HARD,free,55.0,"String, Greedy"
3,Longest Substring Without Repeating Characters,MEDIUM,free,50.2,"Hash Table, String, Sliding Window"
9,Palindrome Number,EASY,free,50.2,Math
15,3Sum,MEDIUM,free,50.2,"Array, Two Pointers, Sorting"
26,Remove Duplicates from Sorted Array,EASY,free,50.2,"Array, Two Pointers"
27,Remove Element,EASY,free,50.2,"Array, Two Pointers"
56,Merge Intervals,MEDIUM,free,50.2,"Array, Sorting"
205,Isomorphic Strings,EASY,free,50.2,"Hash Table, String"
349,Intersection of Two Arrays,EASY,free,50.2,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
394,Decode String,MEDIUM,free,50.2,"String, Stack, Recursion"
715,Range Module,HARD,free,50.2,"Design, Segment Tree, Ordered Set"
1101,The Earliest Moment When Everyone Become Friends,MEDIUM,premium,50.2,"Array, Union Find, Sorting"
1381,Design a Stack With Increment Operation,MEDIUM,free,50.2,"Array, Stack, Design"
20,Valid Parentheses,EASY,free,44.1,"String, Stack"
39,Combination Sum,MEDIUM,free,44.1,"Array, Backtracking"
42,Trapping Rain Water,HARD,free,44.1,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
54,Spiral Matrix,MEDIUM,free,44.1,"Array, Matrix, Simulation"
55,Jump Game,MEDIUM,free,44.1,"Array, Dynamic Programming, Greedy"
125,Valid Palindrome,EASY,free,44.1,"Two Pointers, String"
139,Word Break,MEDIUM,free,44.1,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
146,LRU Cache,MEDIUM,free,44.1,"Hash Table, Linked List, Design, Doubly-Linked List"
150,Evaluate Reverse Polish Notation,MEDIUM,free,44.1,"Array, Math, Stack"
162,Find Peak Element,MEDIUM,free,44.1,"Array, Binary Search"
179,Largest Number,MEDIUM,free,44.1,"Array, String, Greedy, Sorting"
215,Kth Largest Element in an Array,MEDIUM,free,44.1,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
239,Sliding Window Maximum,HARD,free,44.1,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
242,Valid Anagram,EASY,free,44.1,"Hash Table, String, Sorting"
392,Is Subsequence,EASY,free,44.1,"Two Pointers, String, Dynamic Programming"
424,Longest Repeating Character Replacement,MEDIUM,free,44.1,"Hash Table, String, Sliding Window"
670,Maximum Swap,MEDIUM,free,44.1,"Math, Greedy"
695,Max Area of Island,MEDIUM,free,44.1,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
796,Rotate String,EASY,free,44.1,"String, String Matching"
1011,Capacity To Ship Packages Within D Days,MEDIUM,free,44.1,"Array, Binary Search"
1331,Rank Transform of an Array,EASY,free,44.1,"Array, Hash Table, Sorting"
1903,Largest Odd Number in String,EASY,free,44.1,"Math, String, Greedy"
2458,Height of Binary Tree After Subtree Removal Queries,HARD,free,44.1,"Array, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
2641,Cousins in Binary Tree II,MEDIUM,free,44.1,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
2877,Create a DataFrame from List,EASY,free,44.1,
4,Median of Two Sorted Arrays,HARD,free,35.6,"Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,MEDIUM,free,35.6,"Two Pointers, String, Dynamic Programming"
7,Reverse Integer,MEDIUM,free,35.6,Math
19,Remove Nth Node From End of List,MEDIUM,free,35.6,"Linked List, Two Pointers"
28,Find the Index of the First Occurrence in a String,EASY,free,35.6,"Two Pointers, String, String Matching"
34,Find First and Last Position of Element in Sorted Array,MEDIUM,free,35.6,"Array, Binary Search"
46,Permutations,MEDIUM,free,35.6,"Array, Backtracking"
57,Insert Interval,MEDIUM,free,35.6,Array
61,Rotate List,MEDIUM,free,35.6,"Linked List, Two Pointers"
69,Sqrt(x),EASY,free,35.6,"Math, Binary Search"
73,Set Matrix Zeroes,MEDIUM,free,35.6,"Array, Hash Table, Matrix"
77,Combinations,MEDIUM,free,35.6,Backtracking
85,Maximal Rectangle,HARD,free,35.6,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
94,Binary Tree Inorder Traversal,EASY,free,35.6,"Stack, Tree, Depth-First Search, Binary Tree"
124,Binary Tree Maximum Path Sum,HARD,free,35.6,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
152,Maximum Product Subarray,MEDIUM,free,35.6,"Array, Dynamic Programming"
204,Count Primes,MEDIUM,free,35.6,"Array, Math, Enumeration, Number Theory"
225,Implement Stack using Queues,EASY,free,35.6,"Stack, Design, Queue"
231,Power of Two,EASY,free,35.6,"Math, Bit Manipulation, Recursion"
249,Group Shifted Strings,MEDIUM,premium,35.6,"Array, Hash Table, String"
300,Longest Increasing Subsequence,MEDIUM,free,35.6,"Array, Binary Search, Dynamic Programming"
303,Range Sum Query - Immutable,EASY,free,35.6,"Array, Design, Prefix Sum"
309,Best Time to Buy and Sell Stock with Cooldown,MEDIUM,free,35.6,"Array, Dynamic Programming"
345,Reverse Vowels of a String,EASY,free,35.6,"Two Pointers, String"
354,Russian Doll Envelopes,HARD,free,35.6,"Array, Binary Search, Dynamic Programming, Sorting"
359,Logger Rate Limiter,EASY,premium,35.6,"Hash Table, Design, Data Stream"
432,All O`one Data Structure,HARD,free,35.6,"Hash Table, Linked List, Design, Doubly-Linked List"
440,K-th Smallest in Lexicographical Order,HARD,free,35.6,Trie
560,Subarray Sum Equals K,MEDIUM,free,35.6,"Array, Hash Table, Prefix Sum"
567,Permutation in String,MEDIUM,free,35.6,"Hash Table, Two Pointers, String, Sliding Window"
584,Find Customer Referee,EASY,free,35.6,Database
592,Fraction Addition and Subtraction,MEDIUM,free,35.6,"Math, String, Simulation"
725,Split Linked List in Parts,MEDIUM,free,35.6,Linked List
735,Asteroid Collision,MEDIUM,free,35.6,"Array, Stack, Simulation"
743,Network Delay Time,MEDIUM,free,35.6,"Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
772,Basic Calculator III,HARD,premium,35.6,"Math, String, Stack, Recursion"
703,Kth Largest Element in a Stream,EASY,free,35.6,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
785,Is Graph Bipartite?,MEDIUM,free,35.6,"Depth-First Search, Breadth-First Search, Union Find, Graph"
818,Race Car,HARD,free,35.6,Dynamic Programming
641,Design Circular Deque,MEDIUM,free,35.6,"Array, Linked List, Design, Queue"
